epoch,cpu_temperature,cpu_usage,ram_usage,storage_usage
1734837545,35.537,0.3,9.7,46.61305325904341
1734841147,36.024,0.3,9.7,46.61352785397664
1734844749,35.537,0.2,9.8,46.61392334975432
1734848350,36.024,4.8,9.7,46.61434521191718
1734851952,35.05,8.1,10.1,46.61475389088746
1734855553,34.563,0.0,9.7,46.61516256985774
1734859154,36.024,0.0,9.7,46.61561079840578
1734862756,38.459,0.2,9.6,46.615993110990885
1734866358,41.381,0.0,9.7,46.61641497315375
1734869959,44.303,8.4,9.7,46.61681046893143
1734873561,40.894,4.8,9.7,46.617245514286886
1734877163,43.816,0.0,9.7,46.61758827729422
1734880765,46.738,0.0,9.7,46.61803650584226
1734884366,50.634,0.0,9.7,46.61841881842736
1734887968,46.738,0.0,9.7,46.618814314205046
1734891569,47.712,0.2,9.7,46.61923617636791
1734895172,52.095,5.8,9.7,46.619684404915965
1734898774,48.199,9.0,9.7,46.620106267078825
1734902375,43.816,0.5,9.8,46.62050176285651
1734905977,39.433,0.3,9.8,46.6209104418268
1734909578,37.972,0.3,9.7,46.62131912079707
1734913180,37.485,0.0,9.7,46.62174098295993
1734916782,36.998,0.0,9.8,46.622334226626464
1734920384,36.511,7.1,9.8,46.622742905596745
1734923986,36.511,4.5,9.8,46.6231647677596
1734927587,35.537,0.3,9.8,46.62362617950024
1734931188,36.998,0.3,9.8,46.62399530889275
1734934790,36.998,0.3,9.8,46.62440398786303
1734938391,36.998,0.0,9.8,46.62483903321848
1734941992,37.485,13.1,9.8,46.62520816261099
1734945594,36.998,0.3,9.7,46.62561684158126
1734949196,38.459,8.5,10.2,46.62602552055154
1734952797,45.277,0.7,9.8,46.62643419952183
1734956399,52.582,0.3,9.8,46.62682969529951
1734960000,52.582,0.0,9.8,46.62723837426978
1734963602,52.582,11.5,9.8,46.62766023643265
1734967204,52.095,4.3,9.7,46.62806891540293
1734970805,52.095,0.0,9.8,46.628464411180616
1734974407,51.608,0.0,9.8,46.62888627334348
1734978009,53.069,0.5,9.8,46.629321318698935
1734981611,51.608,0.0,10.5,46.63032324133575
1734985212,48.686,0.5,10.5,46.63120651523924
1734988814,44.79,13.1,10.4,46.65907578437359
1734992416,39.433,6.5,10.4,46.65993269189192
1734996017,38.459,6.7,10.4,46.66077641621765
1734999619,37.485,0.3,10.4,46.66163332373597
1735003221,36.998,46.5,10.5,46.66249023125429
1735006822,36.511,0.0,10.5,46.66332077238744
1735010424,36.024,0.0,10.5,46.664217229483526
1735014026,35.05,11.3,10.4,46.665113686579616
1735017627,34.563,0.2,10.5,46.66594422771276
1735021228,34.076,0.0,10.5,46.66685386800144
1735024830,34.076,0.3,10.5,46.66768440913458
1735028431,34.076,14.1,10.5,46.66858086623068
1735032033,39.433,0.0,10.5,46.69641058578725
1735035635,47.712,12.9,10.4,46.6972279437278
1735039236,50.634,0.5,10.4,46.69809803443872
1735042837,51.121,0.0,10.5,46.69894175876445
1735046439,50.634,0.0,9.9,46.69990413182349
1735050041,50.634,9.3,9.8,46.70064239060851
1735053643,50.147,0.3,10.0,46.70074785614922
1735057245,53.556,2.8,9.9,46.70114335192691
1735060847,52.582,10.2,10.0,46.701565214089776
1735064449,55.991,0.2,9.9,46.70196070986746
1735068050,55.017,0.0,9.9,46.70234302245256
1735071652,53.556,0.5,9.9,46.70277806780801
1735075253,51.121,0.0,9.9,46.70318674677829
1735078855,43.816,0.0,10.0,46.70362179213375
1735082456,41.868,8.1,9.9,46.70400410471884
1735086057,41.381,0.7,9.9,46.7044391500743
1735089658,38.459,0.2,9.9,46.70480827946681
1735093260,38.459,0.0,9.9,46.70523014162967
1735096862,38.459,0.2,9.9,46.705652003792544
1735100463,37.972,0.2,9.9,46.70604749957023
1735104064,36.998,5.6,9.9,46.70646936173309
1735107666,36.511,0.5,9.9,46.70687804070337
1735111268,36.998,0.5,9.9,46.70752401714026
1735114869,37.485,0.2,9.9,46.70789314653277
