epoch,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m
1734890400,23.600000381469727,82.0,26.47298622131348,1.0,0.2000000029802322,0.0,0.2000000029802322,80.0,100.0,1013.0999755859376,920.7349243164062,7.993297576904297,277.7650756835937,23.759998321533203
1734894000,23.850000381469727,81.0,26.90846061706543,1.0,0.0,0.0,0.0,3.0,85.0,1012.7000122070312,920.44482421875,6.877789974212647,276.0089111328125,20.880001068115234
1734897600,23.950000762939453,80.0,27.01325225830078,1.0,0.0,0.0,0.0,3.0,90.0,1012.0999755859376,919.9288330078124,6.479999542236328,270.0,20.880001068115234
1734901200,23.0,83.0,26.077415466308597,1.0,0.0,0.0,0.0,3.0,85.0,1012.0,919.5588989257812,5.241678714752197,254.05453491210935,19.07999992370605
1734904800,23.149999618530277,82.0,26.77775764465332,0.0,0.0,0.0,0.0,3.0,86.0,1012.9000244140624,920.4207763671876,1.2979984283447266,326.3099060058594,10.440000534057615
1734908400,22.200000762939453,87.0,25.698455810546875,0.0,0.0,0.0,0.0,3.0,100.0,1013.5999755859376,920.7759399414062,2.2768397331237797,71.5649642944336,9.0
1734912000,21.399999618530277,90.0,24.779211044311523,0.0,0.1000000014901161,0.0,0.1000000014901161,3.0,100.0,1014.5,921.3554077148438,2.2768397331237797,108.43504333496094,9.359999656677246
1734915600,21.049999237060547,91.0,24.279203414916992,0.0,0.1000000014901161,0.0,0.1000000014901161,80.0,99.0,1015.4000244140624,922.0680541992188,2.741678237915039,156.80137634277344,9.720000267028809
1734919200,20.75,89.0,23.61363410949707,0.0,0.0,0.0,0.0,2.0,80.0,1015.2000122070312,921.7964477539062,3.096837043762207,144.4622344970703,10.079999923706056
1734922800,20.5,88.0,22.85892868041992,0.0,0.0,0.0,0.0,3.0,97.0,1014.9000244140624,921.4490356445312,5.191993713378906,146.30990600585938,13.31999969482422
1734926400,20.149999618530277,89.0,22.790922164916992,0.0,0.2000000029802322,0.0,0.2000000029802322,80.0,100.0,1014.4000244140624,920.8899536132812,2.741678237915039,156.80137634277344,8.640000343322754
