log_time,image_time,log_image_difference
2024-10-06 01:48:57.441,2024-10-06 01:48:54,3.441
2024-10-06 01:52:18.846,2024-10-06 01:52:16,2.846
2024-10-06 01:55:43.252,2024-10-06 01:55:37,6.252
2024-10-06 01:59:02.514,2024-10-06 01:58:59,3.514
2024-10-06 02:02:24.917,2024-10-06 02:02:21,3.917
2024-10-06 02:05:48.301,2024-10-06 02:05:43,5.301
2024-10-06 02:09:07.554,2024-10-06 02:09:05,2.554
2024-10-06 02:12:29.948,2024-10-06 02:12:26,3.948
2024-10-06 02:15:53.407,2024-10-06 02:15:48,5.407
2024-10-06 02:19:13.665,2024-10-06 02:19:10,3.665
2024-10-06 02:22:36.067,2024-10-06 02:22:32,4.067
2024-10-06 02:25:58.519,2024-10-06 02:25:54,4.519
2024-10-06 02:29:18.794,2024-10-06 02:29:15,3.794
2024-10-06 02:32:41.238,2024-10-06 02:32:37,4.238
2024-10-06 02:36:02.660,2024-10-06 02:35:59,3.66
2024-10-06 02:39:26.958,2024-10-06 02:39:21,5.958
2024-10-06 02:42:46.368,2024-10-06 02:42:43,3.368
2024-10-06 02:46:07.856,2024-10-06 02:46:05,2.856
2024-10-06 02:49:30.126,2024-10-06 02:49:26,4.126
2024-10-06 02:52:51.532,2024-10-06 02:52:48,3.532
2024-10-06 02:56:12.986,2024-10-06 02:56:10,2.986
2024-10-06 02:59:35.291,2024-10-06 02:59:32,3.291
2024-10-06 03:02:56.778,2024-10-06 03:02:54,2.778
2024-10-06 03:06:18.398,2024-10-06 03:06:15,3.398
2024-10-06 03:09:40.735,2024-10-06 03:09:37,3.735
2024-10-06 03:13:02.173,2024-10-06 03:12:59,3.173
2024-10-06 03:16:23.594,2024-10-06 03:16:21,2.594
2024-10-06 03:19:45.865,2024-10-06 03:19:43,2.865
2024-10-06 03:23:08.276,2024-10-06 03:23:04,4.276
2024-10-06 03:26:29.722,2024-10-06 03:26:26,3.722
2024-10-06 03:29:51.984,2024-10-06 03:29:48,3.984
2024-10-06 03:33:13.414,2024-10-06 03:33:10,3.414
2024-10-06 03:36:34.794,2024-10-06 03:36:31,3.794
2024-10-06 03:39:57.056,2024-10-06 03:39:53,4.056
2024-10-06 03:43:18.469,2024-10-06 03:43:15,3.469
2024-10-06 03:46:39.907,2024-10-06 03:46:37,2.907
2024-10-06 03:50:02.180,2024-10-06 03:49:59,3.18
2024-10-06 03:53:23.535,2024-10-06 03:53:20,3.535
2024-10-06 03:56:45.938,2024-10-06 03:56:42,3.938
2024-10-06 04:00:07.244,2024-10-06 04:00:04,3.244
2024-10-06 04:03:28.642,2024-10-06 04:03:26,2.642
2024-10-06 04:06:51.102,2024-10-06 04:06:48,3.102
2024-10-06 04:10:13.365,2024-10-06 04:10:09,4.365
2024-10-06 04:13:34.779,2024-10-06 04:13:31,3.779
2024-10-06 04:16:57.206,2024-10-06 04:16:53,4.206
